category,hwahae_rank,product_name,hwahae_rating,hwahae_review
serum_ampoule,60,성분에디터그린토마토 NMN 포어 리프팅 앰플,4.3,378
serum_ampoule,61,넘버즈인5번 글루타치온C 흔적 앰플,4.32,943
serum_ampoule,62,브이티코스메틱리들샷 100,4.36,1516
serum_ampoule,63,주미소히알루론산 워터 플럼핑 수분 세럼,4.62,1135
serum_ampoule,64,유이크바이옴 베리어 파하 결 앰플,4.52,1004
serum_ampoule,65,닥터트웬티프로젝트나인 세럼,4.57,740
serum_ampoule,66,파넬시카마누 92세럼,4.28,1039
serum_ampoule,67,비그린무향 시카 세럼,4.56,1480
serum_ampoule,68,아누아나이아신아마이드 10 TXA 4 다크 스팟 코렉팅 세럼,4.31,436
serum_ampoule,69,한율어린쑥 속수분 쑥히알 세럼,4.53,402
serum_ampoule,70,포레스트피톤 수분시카 세럼,4.53,2443
serum_ampoule,71,아페리레비 프로즌 포어 앰플,4.52,1188
serum_ampoule,72,밀바랩제주 용암해수 보습 앰플 에센스,4.62,847
serum_ampoule,73,이즈앤트리초저분자 히아루론산 세럼,4.64,1737
serum_ampoule,74,코스알엑스더 알파-알부틴 2 디스컬러레이션 케어 세럼,4.51,599
serum_ampoule,75,셀리맥스노니 에너지 앰플,4.59,570
serum_ampoule,76,디어클레어스미드나잇 블루 유스 액티베이팅 드롭,4.49,865
serum_ampoule,77,스킨1004마다가스카르 센텔라 앰플,4.52,481
serum_ampoule,78,브이티코스메틱피디알엔 에센스 100,4.5,247
serum_ampoule,79,소미블루밍 포어 케어 앰플,4.54,714
serum_ampoule,80,웰라쥬하이퍼 펩타이드 보툴리들 앰플,4.56,803
serum_ampoule,81,더마펌펩트올로지 부스팅 앰플 레티노이드,4.42,815
serum_ampoule,82,디오디너리나이아신아마이드 10％ + 징크 1％,4.1,3508
serum_ampoule,83,이니스프리비타민C 세럼,4.31,765
serum_ampoule,84,구달청귤 비타C 잡티 케어 세럼 알파,4.27,398
serum_ampoule,85,스킨푸드로열허니 프로폴리스 인리치 에센스,4.42,4304
serum_ampoule,86,아이오페레티놀 슈퍼바운스 세럼,4.57,373
serum_ampoule,87,달바화이트 트러플 더블 세럼 앤 크림,4.72,3927
serum_ampoule,88,코스알엑스어드밴스드 더 비타민 C 23 세럼,4.45,109
serum_ampoule,89,다자연블루 아가베 포어 세럼,4.62,1678
serum_ampoule,90,YBK핑크 글로우 듀얼 캡슐 앰플 3X,4.49,399
serum_ampoule,91,디마프히어로 마이 퍼스트 세럼 a.k.a. 만능기초,4.58,325
serum_ampoule,92,에스트라리제덤365 모공탄력 캡슐세럼,4.55,636
serum_ampoule,93,아이소이브라이트닝 카밍 스팟 세럼,4.43,168
serum_ampoule,94,토니모리원더 히알루론산 촉촉 앰플,4.46,413
serum_ampoule,95,듀이트리AC 딥 장벽 진정 보습 앰플,4.38,101
serum_ampoule,96,닥터나인틴포어엑스좀 레디알엔 엑소좀 앰플,4.46,1000
serum_ampoule,97,에스트라에이시카365 흔적진정세럼 pH4.5,4.4,280
serum_ampoule,98,베르가모밤부캡슐 수딩 세럼,4.57,1312
serum_ampoule,99,닥터지레드 블레미쉬 클리어 수딩 액티브 에센스,4.33,201
serum_ampoule,100,아비브글루타치온좀 잡티 세럼 비타 드롭,4.29,262
cream,1,에스트라아토베리어365 크림,4.68,17118
cream,2,웰라쥬리얼 히알루로닉 수딩 크림,4.64,3722
cream,3,에스네이처아쿠아 스쿠알란 수분크림,4.58,41843
cream,4,토리든다이브인 저분자 히알루론산 수딩 크림,4.68,26096
cream,5,아누아PDRN 히알루론산 100 수분 크림,4.65,4902
cream,6,토리든다이브인 저분자 히알루론산 크림,4.61,25184
cream,7,비플레인녹두 모공 타이트업 수딩 크림,4.58,6027
cream,8,닥터지레드 블레미쉬 클리어 수딩 크림,4.39,42837
cream,9,닥터지레드 블레미쉬 클리어 수딩 크림 EX,4.68,43498
cream,10,에코미니멀데일리 페이셜 크림,4.69,873
cream,11,셀린저더마 배리어 P 크림,4.65,1003
cream,12,아토팜판테놀 크림,4.75,1550
cream,13,프리메이진정한 수분크림,4.59,5845
cream,14,라비앙엑토덤 액티브 베리어 크림,4.53,1307
cream,15,메이크프렘인테카 수딩 크림,4.61,6814
cream,16,아이소이모이스춰 닥터 크림,4.53,3595
cream,17,바이오더마시카비오 크림+,4.55,941
cream,18,아토팜MLE 크림,4.76,4612
cream,19,토리든밸런스풀 시카 진정 크림,4.59,4828
cream,20,시드물마다가스카르 리얼 수분크림,4.33,12150
cream,21,쓰리노프데일리 컨셔스 크림,4.61,819
cream,22,리브엠시카좀 카밍 워터 젤 크림,4.63,2632
cream,23,라보레브피치마이크로바이옴 10 엑소좀 크림,4.4,774
cream,24,구달어성초 히알루론 수딩 크림,4.65,2188
cream,25,리더스그린 콜라겐 아이크림 포 페이스,4.61,2622
cream,26,피지오겔DMT 페이셜크림,4.21,25998
cream,27,라운드랩자작나무 수분 크림,4.38,18262
cream,28,파티온노스카나인 트러블 크림,4.5,2454
cream,29,바론시에엑토인 크림,4.69,2331
cream,30,코스알엑스더 세라마이드 스킨 베리어 모이스처라이저,4.62,557
cream,31,바이오더마아토덤 울트라 크림,4.53,1252
cream,32,리쥬베닐리페어 PDRN 1500 크림,4.44,1040
cream,33,ICD래디언솜™100 마이크로플루다이저 크림,4.46,1000
cream,34,바이오더마아토덤 인텐시브밤,4.53,1729
cream,35,아비브히알루로닉 붐 크림 워터 튜브,4.63,224
cream,36,웰라쥬리얼 히알루로닉 100 크림,4.57,2627
cream,37,토리든솔리드인 세라마이드 크림,4.64,329
cream,38,블레쥬아토지 세라 피부 장벽 크림,4.79,684
cream,39,더하르나이시카이드 크림,4.45,1301
cream,40,제로이드인텐시브 크림,4.39,4123
cream,41,닥터지더모이스처 배리어.D 인텐스 크림,4.63,965
cream,42,일리윤레드이치 케어크림,4.75,834
cream,43,어바웃미숲 진정 수분 크림,4.62,4074
cream,44,스킨푸드블루 캐모마일 히알루로닉 크림,4.62,624
cream,45,토니모리어성초시카 쿨링 수분 크림,4.38,1284
cream,46,제나벨PDRN 리쥬비네이팅 크림,4.61,1101
cream,47,싸이닉병풀 PDRN 시카 엔드 수딩 크림,4.52,391
cream,48,달바비타 토닝 캡슐 크림,4.64,962
cream,49,리브엠워터핏 8중 수분착붙 크림,4.63,1511
cream,50,에스트라아토베리어365 하이드로 수딩크림,4.78,109
cream,51,바이오더마시카비오 포마드,4.28,3582
cream,52,리얼베리어익스트림 크림,4.27,12350
cream,53,브링그린티트리 시카 수딩 크림 플러스,4.34,1765
cream,54,마녀공장비피다 바이옴 아쿠아 베리어 크림,4.46,1193
cream,55,제로이드수딩 크림,4.26,3809
cream,56,라로슈포제시카플라스트 멀티 리페어 크림 B5,4.23,1394
cream,57,더리즈리코테카 진정 수분 크림,4.5,1486
cream,58,다자연어성초 진정 수딩 크림,4.68,2721
cream,59,마녀공장판테토인 크림,4.65,1513
cream,60,아비브부활초 크림 뉴트리션 튜브,4.47,1271
cream,61,스킨앤랩베리어덤 인텐시브 크림,4.54,1864
cream,62,닥터지레드 블레미쉬 클리어 크림,4.52,1319
cream,63,센텔리안24더 마데카 크림,4.43,1208
cream,64,리얼베리어워터리 히알 크림,4.57,524
cream,65,토리든셀메이징 저분자 콜라겐 탄력 크림,4.61,677
cream,66,라운드랩약콩 판테놀 크림,4.47,543
cream,67,이니스프리레티놀 시카 흔적 장벽 크림,4.55,1003
cream,68,센텔리안24마데카크림 타임리버스,4.46,446
cream,69,코스알엑스더 레티놀 0.1 크림,4.52,1280
cream,70,메디힐마데카소사이드 흔적 리페어 더마 크림,4.39,147
cream,71,피지오겔레드수딩 시카밸런스 크림,4.48,577
cream,72,일리윤히알루론 모이스춰 수분크림,4.29,2062
cream,73,달바화이트 트러플 더블 세럼 앤 크림,4.72,3927
cream,74,에스네이처아쿠아 스쿠알란 판테놀 아이크림 포 페이스 밤,4.62,26
cream,75,코스노리아보카도 아이크림,4.56,2839
cream,76,한율어린쑥 수분진정 크림,4.46,1157
cream,77,리얼베리어익스트림 크림 라이트,4.49,522
cream,78,아벤느시칼파트 플러스 SOS 크림,4.39,1011
cream,79,이즈앤트리어니언 뉴페어 겔크림 플러스,4.41,94
cream,80,웰라쥬리얼 시카 카밍 95 크림,4.48,634
cream,81,믹순히알레배 포어 블러링 크림,4.46,467
cream,82,주미소D-판테놀 베리어 수딩 크림,4.45,152
cream,83,더랩바이블랑두올리고 히알루론산 카밍+크림,4.3,4856
cream,84,더랩바이블랑두클리어히알결광 스킨핏프렙,4.6,47
cream,85,이니스프리그린티 버터 보습 크림,4.62,141
cream,86,에스트라아토베리어 크림,4.6,414
